epoch,loss
1,1.130875
2,0.350877
3,0.210562
4,0.158776
5,0.125855
6,0.101946
7,0.088157
8,0.077169
9,0.066484
10,0.058668
11,0.052919
12,0.051586
13,0.045391
14,0.040174
15,0.037901
16,0.034245
17,0.031213
18,0.029221
19,0.027108
20,0.025888
21,0.024437
22,0.022345
23,0.021356
24,0.019773
25,0.019563
26,0.017790
27,0.016925
28,0.016393
29,0.015310
30,0.014571
31,0.014008
32,0.013605
33,0.013063
34,0.012530
35,0.012117
36,0.012035
37,0.010943
38,0.010609
39,0.010403
40,0.009755
41,0.009697
42,0.009164
43,0.008911
44,0.008794
45,0.008365
46,0.008172
47,0.007792
48,0.007944
49,0.007617
50,0.007215
51,0.007655
52,0.006889
53,0.006624
54,0.006450
55,0.006656
56,0.006132
57,0.005975
58,0.005868
59,0.005711
60,0.005588
